filename,width,height,class,xmin,ymin,xmax,ymax
n02099712_4543.jpg,500,375,Doggo,139,86,458,309
n02106382_2535.jpg,510,414,Doggo,26,86,456,364
n02090622_9883.jpg,500,332,Doggo,214,102,378,276
n02090622_9883.jpg,500,332,Doggo,65,73,186,236
n02088632_3585.jpg,308,500,Doggo,125,118,262,271
n02106382_3840.jpg,701,551,Doggo,16,2,680,537
n02096177_5785.jpg,500,334,Doggo,29,9,333,317
n02097047_6936.jpg,500,333,Doggo,159,1,499,332
n02101006_3062.jpg,294,441,Doggo,66,61,267,389
n02098105_3142.jpg,500,330,Doggo,164,141,381,329
n02086079_17103.jpg,500,333,Doggo,1,8,335,320
n02110627_11942.jpg,200,280,Doggo,44,56,175,263
n02091244_387.jpg,300,286,Doggo,31,20,284,275
n02088364_16588.jpg,500,386,Doggo,147,12,454,385
n02101006_4065.jpg,360,270,Doggo,28,6,350,218
n02096437_4416.jpg,228,224,Doggo,12,6,190,209
n02097209_1387.jpg,327,500,Doggo,21,28,288,492
n02088632_28.jpg,360,230,Doggo,19,22,358,228
n02089867_2191.jpg,389,547,Doggo,34,215,331,511
n02097474_6580.jpg,500,375,Doggo,67,0,411,221
n02105056_4640.jpg,334,500,Doggo,62,26,320,452
n02097474_2509.jpg,500,380,Doggo,123,44,452,312
n02111500_3710.jpg,500,333,Doggo,313,153,395,280
n02105505_1541.jpg,500,375,Doggo,24,13,369,292
n02093991_4287.jpg,375,500,Doggo,0,180,108,440
n02093991_4287.jpg,375,500,Doggo,166,237,295,452
n02093991_4287.jpg,375,500,Doggo,177,173,292,341
n02097130_2135.jpg,500,375,Doggo,227,130,339,367
n02087046_693.jpg,500,333,Doggo,131,31,380,281
n02106382_9317.jpg,500,333,Doggo,192,123,498,331
n02091032_8428.jpg,500,375,Doggo,0,25,359,374
n02100735_10175.jpg,500,375,Doggo,6,1,390,374
n02102177_1999.jpg,500,375,Doggo,137,98,287,315
n02112018_5812.jpg,500,375,Doggo,15,43,347,293
n02111889_4740.jpg,375,500,Doggo,107,176,306,406
n02086079_14748.jpg,500,375,Doggo,0,30,499,332
n02098286_945.jpg,500,375,Doggo,154,79,327,356
n02096177_1596.jpg,371,500,Doggo,35,35,318,462
n02088364_2502.jpg,500,375,Doggo,163,8,423,357
n02108000_569.jpg,250,226,Doggo,25,22,249,225
n02099601_5188.jpg,500,331,Doggo,144,78,303,296
n02086646_127.jpg,334,500,Doggo,17,171,185,410
n02086646_127.jpg,334,500,Doggo,166,151,306,436
n02095889_4649.jpg,400,310,Doggo,19,67,220,253
n02095889_4649.jpg,400,310,Doggo,168,65,375,260
n02098286_5700.jpg,500,375,Doggo,252,93,403,268
n02098286_5700.jpg,500,375,Doggo,127,221,271,331
n02101006_3748.jpg,300,500,Doggo,110,236,267,473
n02096437_4.jpg,500,372,Doggo,149,23,406,358
n02099429_244.jpg,375,500,Doggo,67,147,276,405
n02098286_577.jpg,500,334,Doggo,207,116,343,306
n02102177_3974.jpg,500,333,Doggo,182,111,262,224
n02109047_21903.jpg,850,638,Doggo,241,81,592,601
n02112018_5554.jpg,360,270,Doggo,90,15,310,262
n02086910_3795.jpg,250,375,Doggo,15,1,249,374
n02111500_2596.jpg,500,375,Doggo,133,100,346,297
n02112137_11927.jpg,500,375,Doggo,129,14,379,369
n02093647_1228.jpg,510,510,Doggo,58,52,432,470
n02085936_2976.jpg,500,375,Doggo,42,52,348,282
n02086646_3856.jpg,307,230,Doggo,20,67,264,215
n02092002_6380.jpg,500,376,Doggo,116,65,348,375
n02111129_2359.jpg,400,315,Doggo,13,3,387,309
n02109525_11465.jpg,480,360,Doggo,134,62,343,296
n02109525_11465.jpg,480,360,Doggo,328,1,414,64
n02107142_8437.jpg,375,500,Doggo,21,70,361,497
n02112350_5904.jpg,500,375,Doggo,81,30,443,334
n02105251_8911.jpg,500,332,Doggo,82,0,499,331
n02097658_1013.jpg,500,357,Doggo,248,29,492,313
n02099849_2573.jpg,500,375,Doggo,98,31,265,245
n02105505_4271.jpg,250,185,Doggo,8,10,232,175
n02100735_8071.jpg,500,375,Doggo,0,0,405,247
n02093428_5415.jpg,500,354,Doggo,191,60,354,305
n02099429_3159.jpg,190,198,Doggo,2,5,189,197
n02105251_7223.jpg,500,493,Doggo,118,0,479,370
n02111889_3399.jpg,500,420,Doggo,28,29,264,395
n02111889_3399.jpg,500,420,Doggo,263,39,477,407
n02093991_2126.jpg,500,375,Doggo,141,44,339,346
n02111500_870.jpg,500,333,Doggo,1,14,283,332
n02086910_8354.jpg,180,231,Doggo,0,15,179,230
n02086240_2254.jpg,500,386,Doggo,0,55,499,310
n02088238_13079.jpg,500,375,Doggo,92,80,336,374
n02105251_8296.jpg,500,333,Doggo,263,22,434,316
n02092002_2372.jpg,400,300,Doggo,55,77,399,296
n02107312_5968.jpg,500,333,Doggo,147,32,410,331
n02110185_931.jpg,360,245,Doggo,172,36,358,243
n02110185_931.jpg,360,245,Doggo,49,1,158,190
